Identifier,Edition Statement,Place of Publication,Date of Publication,Publisher,Title,Author,Contributors,Issuance type,Flickr URL,Shelfmarks
21430,,London,1790,J. Johnson,"Adriano; or, the first of June, a poem. By the author of The Village Curate [i.e. James Hurdis]",,"Hurdis, James",monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000021430,British Library HMNTS 11632.d.48.(2.)|British Library HMNTS 992.k.27.(3.)|British Library HMNTS 1508/379.(2.)
21782,,London,,J. Johnston,"The Adventures of a Post Captain. By a Naval Officer. [In verse.] With ... engravings, by Mr. Williams",,"WILLIAMS, Samuel - Wood Engraver",monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000021782,British Library HMNTS 11642.g.19.
22105,,London,1795,J. Debrett,"The National Advocates, a poem. Affectionately inscribed to the Honourable Thomas Erskine and Vicary Gibbs, Esquire [in praise of their exertions in defence of Thomas Hardy, Horne Tooke and others]. [By William Hayley.]",,"GIBBS, Vicary - Sir",monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000022105,British Library HMNTS 644.k.24.(5.)|British Library HMNTS 11641.h.11.(7.)
23565,,London,1877,Chatto & Windus,Prometheus the Fire-giver. An attempted restoration of the lost first part of the Prometheian Trilogy of Æschylus. [By William Cox Bennett.]: Appendix,Aeschylus.,"BENNETT, William Cox.",monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000023565,British Library HMNTS 11652.c.8.
24878,,London,,Hodder & Stoughton,"The Children of Africa. Written for all English-speaking children. By ... the author of “The Children of India,” etc. [i.e. A. W. Marston]",,"MARSTON, Annie Wright.",monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000024878,British Library HMNTS 10095.e.1.
27797,,London,,William W. Clowes,"Prospectus of an Expedition into the Interior of South Africa from Dalagoa Bay, etc. [By W. D. Cooley.]: General Appendix",,"COOLEY, William Desborough.",monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000027797,British Library HMNTS 010096.h.36.
28873,,London,1853,Chapman & Hall,"Agatha's Husband. A novel. By the author of “Olive,” etc. [i.e. D. M. Mulock, afterwards Craik.]",,"Craik, Dinah Maria Mulock",monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000028873,British Library HMNTS 12626.e.16.
28876,Another edition. With illustrations by Walter Crane.,London,1875,Macillan & Co.,"[Agatha's Husband. A novel. By the author of “Olive,” etc. [i.e. D. M. Mulock, afterwards Craik.]]",,"CRANE, Walter.|Craik, Dinah Maria Mulock",monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000028876,British Library HMNTS 12619.h.27.
29031,,London,1827,William Carpenter,The Age Reviewed: a satire. [In verse. By Robert Montgomery.],,"MONTGOMERY, Robert - Author of “Satan.”",monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000029031,British Library HMNTS 992.l.33.
29032,"Second edition, etc.",London,1828,W. C. Wright,[The Age Reviewed: a satire. [In verse. By Robert Montgomery.]],,"MONTGOMERY, Robert - Author of “Satan.”",monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000029032,British Library HMNTS 11642.g.36.
29285,,London,1876,Chapman & Hall,Through the Ages. A psychological romance. By the author of “The Honeymoon” [i.e. the Duke de Medina Pomar],,"MEDINA-POMAR, de - Duke",monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000029285,British Library HMNTS 12636.dd.5.
31858,,London,1823,G. & W. B. Whittaker,"Ahasuerus, the Wanderer; a dramatic legend [in verse] ... By the author of Sketches in Hindoostan, and other poems [i.e. Thomas Medwin]",,"MEDWIN, Thomas.",monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000031858,British Library HMNTS 993.i.1.
33745,,London,1825,Longman & Co.,The Works of Anna Lætitia Barbauld. With a memoir by Lucy Aikin,"AIKIN, afterwards BARBAULD, Anna Laetitia.","Aikin, Lucy",monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000033745,British Library HMNTS 994.h.2.|British Library HMNTS G.12828.; G.12829.
33881,"A new edition, with additions and corrections, and a supplement by R. H. Evans.",London,1810,R. H. Evans,[Essays on song-writing: with a collection of such English songs as are most eminent for poetical merit. To which are added some original pieces. [By J. Aikin.]],"AIKIN, John - M.D","EVANS, Robert Harding.",monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000033881,British Library HMNTS 11622.c.1.
34463,,London,1872,J. Maxwell & Co.,"Robert Ainsleigh. By the author of 'Lady Audley's Secret,' etc. [i.e. Mary E. Braddon]","AINSLEIGH, Robert.","Braddon, M. E. (Mary Elizabeth)",monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000034463,British Library HMNTS 12627.n.1.
34785,,London,,J. Maxwell & Co.,The illustrated universal gazetteer,,"AINSWORTH, William Francis.",monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000034785,British Library HMNTS 10003.d.14.
34793,,London,,C. Griffin & Co.,"Wanderings in every Clime; or, voyages, travels, and adventures all round the world ... A sequel to “The Earth delineated with pen and pencil” ... With ... illustrations, etc","AINSWORTH, William Francis.","Doré, Gustave",monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000034793,British Library HMNTS 10027.h.8.
34810,,London,1872,Tinsley Bros.,"Boscobel; or, the Royal Oak. A tale of the year 1651 ... Illustrated by J. H. Rimbault","Ainsworth, William Harrison","RIMBAULT, J. H.",monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000034810,British Library HMNTS 12630.dd.1.
34826,,London,1861,Chapman & Hall,The Constable of the Tower: an historical romance ... Illustrated by John Gilbert,"Ainsworth, William Harrison","Gilbert, John - Sir",monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000034826,British Library HMNTS 12634.g.1.
34852,"New edition, with illustrations by Sir John Gilbert.",London,,G. Routledge & Sons,"[The Flitch of Bacon: or, the Custom of Dunmow. A tale of English home. With illustrations by John Gilbert.]","Ainsworth, William Harrison","Gilbert, John - Sir",monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000034852,British Library HMNTS 12620.ee.28.
34914,,London,,G. Routledge & Co.,Mervyn Clitheroe ... Illustrated by Hablot K. Browne,"Ainsworth, William Harrison","BROWNE, Hablot Knight.",monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000034914,British Library HMNTS 12620.d.8.
34952,,London,1860,"Routledge, Warne & Routledge",Ovingdean Grange. A tale of the South Downs. Illustrated by Hablot K. Browne,"Ainsworth, William Harrison","BROWNE, Hablot Knight.",monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000034952,British Library HMNTS 12621.h.18.
34967,Another edition. With illustrations by John Gilbert.,London,1857,G. Routledge & Co.,[Rookwood ... The fourth edition ... with illustrations by George Cruikshank. [With a portrait.]],"Ainsworth, William Harrison","Gilbert, John - Sir",monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000034967,British Library HMNTS 12620.e.8.
34987,,London,,G. Routledge & Co.,The Spendthrift: a tale ... With illustrations by Hablot K. Browne,"Ainsworth, William Harrison","BROWNE, Hablot Knight.",monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000034987,British Library HMNTS 12602.g.5.
36231,,London,1878,William Poole,Plimsoll's England. A satire. By Ajax. [In verse.],,"PLIMSOLL, Samuel.",monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000036231,British Library HMNTS 11646.g.51.(21.)
36721,,London,1897,Bliss & Sands,"Triscombe Stone: a romance of the Quantock Hills, etc","AKERMAN, Portland Board - and HURST (Norman)","HURST, Norman.",monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000036721,British Library HMNTS 012625.f.44.
38986,,London,1827,William Marsh,"Scenes and Occurrences in Albany and Cafferland, South Africa. [By T. Phillips.]",,"PHILLIPS, T. - Rev., Baptist Missionary",monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000038986,British Library HMNTS 790.d.17.
39670,,London,1808,T. & R. Hughes,"Albert and Rosalie, or the Fire King. A grand melodrama, in three acts. [By F. F. Warton. In verse.]",,"WARTON, Ferdinand Fullarton.",monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000039670,British Library HMNTS 11779.c.23.
40021,,London,1886,Macmillan & Co.,"The Cruise of Her Majesty's Ship “Bacchante,” 1879-1882. Compiled from the private journals, letters and note-books of Prince Albert Victor and Prince George of Wales, with additions by J. N. Dalton",,"DALTON, John Neale.",monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000040021,British Library HMNTS 10024.cc.26.
41601,,London,1724,J. Roberts,"Albion; or, the Court of Neptune. A masque. [By Thomas Cooke.]",,"COOKE, Thomas - of Braintree, Essex",monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000041601,British Library HMNTS 642.i.5.(1.)
41623,,London,1772,J. Wilkie,The Albion Princess: a pindaric ode. [By Robert Colvill.],,"COLVILL, Robert.",monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000041623,British Library HMNTS 11602.gg.29.(11.)
42862,,London,,"James Carpenter, etc.","The Geographical and Historical Dictionary of America and the West Indies, containing an entire translation of the Spanish work of ... A. de Alcedo, with large additions ... by G. A. Thompson","ALCEDO, Antonio de.","THOMPSON, George Alexander.",monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000042862,British Library HMNTS 797.dd.2.|British Library HMNTS 146.d.15-19.
42904,,London,1873,"Smith, Elder & Co.",Alcestis. [A novel. By Blanche Warre Cornish.],,"CORNISH, Blanche Warre.",monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000042904,British Library HMNTS 12638.d.28.
42911,,London,1851,Richard Bentley,"Spiritual Alchemy; or, Trials turned to Gold. By the Author of “Hearts in Mortmain,” and “Cornelia” [i.e. Margaret Sandbach]",,"SANDBACH, Margaret - Mrs",monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000042911,British Library HMNTS 12625.b.11.
43140,,London,1835,Richard Bentley,Recollections of an Excursion to the Monasteries of Alcobaça & Batalha. By the author of Vathek [i.e. W. Beckford. With a portrait],,"Beckford, William",monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000043140,British Library HMNTS 1050.g.16.
43252,,London,1799,C. Dilly,"Poems, &c. &c. [Edited by Joanna Hughes.]","ALCOCK, Mary - Poetical Writer","HUGHES, Joanna.",monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000043252,British Library HMNTS 994.i.1.|British Library HMNTS RF.2004.a.50
45574,,London,1867,Hurst & Blackett,"Alec's Bride. By the author of “St. Olave's” [i.e. Eliza Tabor, afterwards Stephenson], etc",,"TABOR, afterwards STEPHENSON, Eliza.",monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000045574,British Library HMNTS 12625.aaa.1.
48378,,London,1837,Henry Colburn,Narrative of a Voyage of Observation among the Colonies of Western Africa ... and of a campaign in Kaffir-Land ... in 1835 ... Illustrated with maps and plates by Major C. C. Michell,"Alexander, James Edward - Sir","MITCHELL, C. C. - Major",monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000048378,British Library HMNTS 1047.k.11.
48384,,London,1830,Henry Colburn & Richard Bentley,"Travels to the Seat of War in the East, through Russia and the Crimea, in 1829, etc. [With plates and a map.]","Alexander, James Edward - Sir|ALEXANDER, John Henry - Engineer","DUCATEL, Julius Timoleon.",monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000048384,British Library HMNTS 1048.c.12.|British Library OC T 15504
48908,,London,1841,J. R. Smith,"A Journey to Beresford Hall, the seat of Charles Cotton Esqre, the celebrated author and angler. [Preceded by a memoir of the author. The dedication signed: J. G.]","ALEXANDER, William - Assistant Keeper of Antiquities, British Museum","G., J.",monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000048908,British Library HMNTS 10351.g.9.
51064,,London,,Richard Bentley,Through Algeria. By the author of “Life in Tuscany” [i.e. Mabll Sharman Crawford]: Appendix,,"CRAWFORD, Mabel Sharman.",monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000051064,British Library HMNTS 10096.c.13.
51125,,London,,Goyder,"Travels in Algeirs, Spain, &c. &c. With a faithful ... account of the Algerines, etc. [By Sophia Barnard.]: Appendix",,"BARNARD, Sophia.",monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000051125,British Library HMNTS 10095.g.35.
52316,,London,1883,W. Blackwood & Sons,"Alison. [A novel.] By the author of “Miss Molly,” etc. [i.e. Beatrice May Butt.]",,"BUTT, Beatrice May.",monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000052316,British Library HMNTS 12635.u.10.
52859,,London,1807,J. J. Stockdale,"All the Talents' Garland; or, a Few Rockets let off at a celebrated Ministry. [By James Sayers.] ... Second edition",,"SAYERS, James.",monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000052859,British Library HMNTS 11643.bbb.16.(1.)
55031,,London,,,The White Man's Foot ... With ... illustrations by J. Finnemore,"Allen, Grant","FINNEMORE, Joseph - Artist",monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000055031,British Library HMNTS 012633.k.19.
56969,,London,1829,"I. T. Hinton, Holdworth & Ball",History of the Counties of Surrey and Sussex ... Illustrated by a series of views engraved ... by Nathaniel Whittock,"ALLEN, Thomas - Topographer","WHITTOCK, Nathaniel.",monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000056969,British Library HMNTS 10360.s.22.|British Library HMNTS 10353.d.14.
57124,,London,1848,Richard Bentley,"A Narrative of the Expedition sent by Her Majestys Government to the River Niger in 1841, under the command of Capt. H. D. Trotter. [With plates.]","ALLEN, William - Captain, R.N., and THOMSON (Thomas Richard Heywood)","THOMSON, Thomas Richard Heywood.|TROTTER, Henry Dundas.",monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000057124,British Library HMNTS 010095.e.46.
58178,,London,1897,Elliot Stock,"Captain Cuellar's Adventures in Connacht & Ulster, A.D. 1588 ... To which is added an introduction and complete translation of Captain Cuellar's Narrative of the Spanish Armada and his adventures in Ireland, by R. Crawford, etc","ALLINGHAM, Hugh.","CRAWFORD, Robert - M.R.I.A|CUELLAR, Franciso de.",monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000058178,British Library HMNTS 9508.cc.2.
62084,,London,1814,Longman & Co.,"Alpine Sketches, comprised in a short tour through parts of Holland, Flanders, France, Savoy, Switzerland and Germany, during the summer of 1814. By a Member of the University of Oxford [i.e. George Wilson Bridges]",,"BRIDGES, George Wilson.",monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000062084,British Library HMNTS 1049.h.10.
62125,,London,1824,W. Smith,"The Diary of a Traveller over Alps and Appenines; or, Daily minutes of a circuitous excursion. [By Murray Forbes.]",,"FORBES, Murray - Traveller",monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000062125,British Library HMNTS 1426.e.11.
62129,,London,,Longmans & Co.,The Maritime Alps and their Seaboard. By the author of “Vera” [i.e. C. L. H. Dempster] ... With illustrations,,"DEMPSTER, Charlotte Louisa Hawkins.",monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000062129,British Library HMNTS 10170.f.1.
66142,,London,1803,"T. Cadell and W. Davies, etc.","Amadis de Gaul: a poem in three books; freely translated from the first part of the French version of Nicolas de Heberay [sic], Sieur des Essars; with notes: by William Stewart Rose: Amadis de Gaula (Spanish romance). English. Abridgements. - Book 1",,"ROSE, William Stewart.",monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000066142,British Library HMNTS 11641.d.3.
67034,,London,1850,Richard Bentley,"History of the War of the Sicilian Vespers ... [Translated by Anne B. I. Percy.] Edited, with an introduction and notes, by the Earl of Ellesmere","AMARI, Michele.","PERCY, Anne Barbara Isabel.",monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000067034,British Library HMNTS 1440.g.14-16.
67200,,London,1818,The Author,"Poems, by an Amateur [i.e. Bernard Barton]",,"BARTON, Bernard.",monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000067200,British Library HMNTS 11641.h.1.
68917,,London,1833,Longman & Co.,America and the Americans. By a Citizen of the World [i.e. James Boardman?],,"BOARDMAN, James - of Liverpool",monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000068917,British Library HMNTS 792.e.11.
69151,,London,1863,Sampson Low & Co.,"Eighty Years' Progress of British North America, showing the developmentof its natural resources ... with a large amount of statistical information, etc. [By H. Y. Hind, T. C. Keefer, C. Robb, J. G. Hodgins, M. H. Perley and W. Murray.]",,"HODGINS, John George.|MURRAY, William - Rev|PERLEY, Moses H.|ROBB, Charles.",monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000069151,British Library HMNTS 10470.d.1.
69302,,London,1838,Henry Colburn,The American in Paris. [By John Sanderson.],,"SANDERSON, John - of Philadelphia",monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000069302,British Library HMNTS 1049.l.20.
69864,,London,1828,"Hurst, Chance & Co.",The Americans as they are; described in a tour through the valley of the Mississippi. By the author of “Austria as it is” [i.e. Charles Sealsfield],,"SEALSFIELD, Charles.",monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000069864,British Library HMNTS 792.g.27.
70023,,London,,Oxford,"Aristophanes at Oxford. O.W. By Y.T.O. [i.e. L. C. M. S. Amery, F. W. Hirst and H. A. A. Cruso.]","Amery, L.S. (Leopold Stennett) - Right Hon","CRUSO, Henry Alfred Anthony.|O., Y. T.",monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000070023,British Library HMNTS 11781.gg.3.
70719,Second edition.,London,1720,R. Francklin,"[An Epistle-with a Petition in it-to Sir John Blount, Bart., one of the Directors of the South-Sea Company. [In verse.]]","AMHURST, Nicholas.","BLUNT, John - Sir, Bart",monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000070719,British Library HMNTS 1077.k.37.
70845,,London,1878,Sampson Low & Co.,Constantinople ... Translated ... by Caroline Tilton,"AMICIS, Edmondo de.","TILTON, Caroline.",monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000070845,British Library HMNTS 10126.cc.3.|British Library HMNTS 10125.de.4.
70870,,London,,"Cassell, Petter, Galpin & Co.",Morocco: its people and places ... Translated by C. Rollin-Tilton. With ... illustrations,"AMICIS, Edmondo de.","TILTON, Caroline.",monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000070870,British Library HMNTS 10094.ee.16.
70881,,London,1880,W. H. Allen & Co.,Holland ... Translated ... by Caroline Tilton: Olanda,"AMICIS, Edmondo de.","TILTON, Caroline.",monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000070881,British Library HMNTS 10271.bb.5.
70882,,London,1883,Remington & Co.,Holland ... Translated ... by M. Saltire: Olanda,"AMICIS, Edmondo de.","SALTIRE, Maurice.",monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000070882,British Library HMNTS 10270.b.29.
74635,,London,1894,Osgood & Co.,Only a Drummer Boy. (A novel.),"AMYAND, Arthur - pseud. [i.e. Edward Arthur Haggard.]","HAGGARD, Edward Arthur.",monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000074635,British Library HMNTS 012630.h.20.
74645,,London,1747,Paul Vaillant,"Amyntor and Theodora: or, the Hermit. A poem. In three cantos. [By David Mallet.]",,"MALLET, David.",monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000074645,British Library HMNTS 644.k.16.(7.)|British Library HMNTS 11630.d.12.(1.)|British Library HMNTS 11630.e.16.(20.)|British Library HMNTS 1465.i.6.(3.)
74647,New edition corrected by the author.,London,1748,,"[Amyntor and Theodora: or, the Hermit. A poem. In three cantos. [By David Mallet.]]",,"MALLET, David.",monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000074647,British Library HMNTS 992.h.11.(5.)
75692,,London,,T. Davies,"The Anatomist: or, the Sham Doctor. A farce, etc. [In one act. Adapted from Edward Ravenscroft's comedy.]",,"RAVENSCROFT, Edward - Dramatist",monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000075692,British Library HMNTS 643.h.2.(12.)
75704,,London,,Thomas Speed,"An Anatomy of Atheisme: a poem. By a person of quality [i.e. William Dawes, afterwards Archbishop of York]",,"DAWES, William - Sir, Bart., successively Bishop of Chester and Archbishop of York",monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000075704,British Library HMNTS 1162.h.33.|British Library HMNTS 1077.l.3.(6.)|British Library HMNTS 162.l.48.
76454,,London,1839,Richard Bentley,A Summer in Andalucia. [By George Dennis.]: Appendix,,"DENNIS, George - Writer on Mediterranean Antiquities",monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000076454,British Library HMNTS 791.g.31.
77405,,London,1888,"Griffith, Farran & Co.","The Story of the Mermaiden. Adapted from the German of Hans Andersen, by E. Ashe ... Illustrated by Laura Troubridge. [In verse.]: Eventyr. Single Tales","Andersen, H. C. (Hans Christian)","ASHE, E.|TROUBRIDGE, Laura Elizabeth Rachel.",monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000077405,British Library HMNTS 11651.l.12.
77482,,London,1846,Richard Bentley,A Poet's Bazaar. From the Danish ... by Charles Beckwith [i.e. C. Beckwith Lohmeyer.]: Other Works,"Andersen, H. C. (Hans Christian)","BECKWITH-LOHMEYER, Charles.",monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000077482,British Library HMNTS 1426.c.6.
77495,,London,1851,Richard Bentley,Pictures of Sweden. [Translated by Charles Beckwith Lohmeyer.]: Other Works,"Andersen, H. C. (Hans Christian)","BECKWITH-LOHMEYER, Charles.",monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000077495,British Library HMNTS 10280.c.19.
77554,,London,1848,Richard Bentley,"Rambles in the romantic regions of the Hartz Mountains, Saxon Switzerland, &c. ... From the original Danish ... by Charles Beckwith. [i.e. C. Beckwith Lohmeyer]: Other Works","Andersen, H. C. (Hans Christian)","BECKWITH-LOHMEYER, Charles.",monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000077554,British Library HMNTS 10250.c.16.
78142,,London,1891,Chapman & Hall,"A Romance of N'Shabé. Being a record of startling adventures in South Central Africa, etc","ANDERSON, Andrew A. - and WALL (Alfred H.)","WALL, Alfred Henry.",monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000078142,British Library HMNTS 012632.h.54.
79249,,London,1876,Macmillan & Co.,"Mandalay to Momien: a narrative of the two Expeditions to Western China of 1868 and 1875, under Colonel E. B. Sladen and Colonel H. Browne ... With maps and illustrations","ANDERSON, John - Superintendent, Indian Museum","BROWNE, Horace Albert.|SLADEN, Edward Bosc.",monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000079249,British Library HMNTS 010057.i.29.
80911,,London,1875,Hurst & Blackett,Notes of Travel in South Africa. Edited by G. Lloyd. [With a portrait.],"ANDERSSON, Carl Johan.","LLOYD, Llewellyn - Sportsman",monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000080911,British Library HMNTS 10095.cc.24.
89469,,London,1825,John Miller,"Masaniello, the fisherman of Naples: an historical play, etc. [In verse. By George Soane.]",Masaniello,"SOANE, George.",monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000089469,British Library HMNTS 11779.g.11.
90416,,London,,Blackwood & Sons,Annals of a Fishing Village. Drawn from the notes of “A Son of the Marshes” [i.e. Denham Jordan]. Edited by J. A. Owen. [With plates.],,"JORDAN, Denham.|OWEN, afterwards VISGER, Jean Allan.",monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000090416,British Library HMNTS 012631.k.25.
90417,,London,1870,Hurst & Blackett,Annals of an Eventful Life. [By Sir George W. Dasent.],,"DASENT, George Webbe - Sir",monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000090417,British Library HMNTS 12626.i.3.
90432,,London,1874,S. Tinsley,"Annals of the Twenty-ninth Century; or, the Autobiography of the Tenth President of the World Republic. [By Andrew Blair.]",,"BLAIR, Andrew - M.D., of Tayport",monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000090432,British Library HMNTS 12631.n.1.
90671,,London,1899,D. Nutt,"Anna Ruina. [A drama in verse. By Michael Field, i.e. K. H. Bradley and E. E. Cooper.]",,"Field, Michael.",monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000090671,British Library HMNTS 11781.gg.45.
91083,,London,1809,William Miller,"Voyages and Travels to India, Ceylon, the Red Sea, Abyssinia, and Egypt. 1802, 1803, 1804, 1805 and 1806. [With plates by Henry Salt.]","ANNESLEY, George - Earl of Mountnorris","SALT, Henry.",monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000091083,British Library HMNTS 10058.l.13.|British Library HMNTS 215.d.1-3.|British Library HMNTS G.2276-8.|British Library HMNTS 455.f.12-14.|British Library OC W 3011
91204,,London,1877,Hurst & Blackett,"Annette. [A novel.] By the author of “St. Olave's,” etc. [i.e. Eliza Tabor, afterwards Stephenson.]",,"TABOR, afterwards STEPHENSON, Eliza.",monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000091204,British Library HMNTS 12625.h.11.
92702,,London,1760,,"Verses on the Death of Lady Anson, addressed to her father. [By David Mallet.]","ANSON, Elizabeth - Baroness Anson","MALLET, David.",monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000092702,British Library HMNTS 643.k.7.(15.)
93013,,London,1862,W. H. Allen & Co.,The Channel Islands ... With illustrations drawn by P. J. Naftel [and with maps],"ANSTED, David Thomas - and LATHAM (Robert Gordon)","NAFTEL, Paul Jacob.",monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000093013,British Library HMNTS 010360.f.22.
93014,Second edition.,London,1865,W. H. Allen & Co.,[The Channel Islands ... With illustrations drawn by P. J. Naftel [and with maps].],"ANSTED, David Thomas - and LATHAM (Robert Gordon)","LATHAM, Robert Gordon.|NAFTEL, Paul Jacob.",monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000093014,British Library HMNTS 010358.g.30.
93061,,London,1830,"Hurst, Chance & Co.","The new Bath Guide ... With a biographical and topographical preface, and anecdotical annotations by John Britton ... Embellished with engravings [by George Cruikshank and S. Williams]","ANSTEY, Christopher.","Britton, John|WILLIAMS, Samuel - Wood Engraver",monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000093061,British Library HMNTS 994.i.3.|British Library HMNTS 10362.df.43.
93082,,London,1897,J. M. Dent & Co.,"Baboo Jabberjee, B.A. ... With illustrations by J. Bernard Partridge","Anstey, F.","PARTRIDGE, J. Bernard - Sir",monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000093082,British Library HMNTS 012626.l.60.|British Library OC T 41349
93124,Another edition. Illustrated by Bernard Partridge.,London,,Harper & Bros.,[The Tinted Venus: a farcical romance.],"Anstey, F.","PARTRIDGE, J. Bernard - Sir",monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000093124,British Library HMNTS 012625.ee.17.
93565,,London,1810,J. Richardson; L. N. Pannier,"South American Emancipation. Documents shewing the designs which have been in progress and the exertions made by General Miranda for the South American Emancipation, during the last twenty-five years. [With a portrait of Miranda, and a plan.]","ANTEPARA, José María.","Miranda, Francisco de|MIRANDA, Francisco de - Jesuit",monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000093565,British Library HMNTS 1446.h.4.|British Library HMNTS 279.k.7.
94484,,London,1887,Macmillan & Co.,The New Antigone. A romance. [By William Barry.],,"BARRY, William Francis.",monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000094484,British Library HMNTS 012639.m.19.
94545,,London,1844,Saunders & Otley,"Antigua and the Antiguans: a full account of the colony and its inhabitants from the time of the Caribs to the present day ... Also, an impartial view of slavery and the free labour systems, etc. [By Mrs. Flannigan.]: Appendix",,FLANNIGAN - Mrs,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000094545,British Library HMNTS 1304.h.1.
